fecha,stat_T,var_scenario,var_state,var_epist,var_aleat,ratio_epist_aleat,mean_mu,mean_sigma
2023-04-13,max_T,28.766315460205078,1.83936208486557e-08,28.766315460205078,38895.14453125,0.0007395862853033753,180.3226776123047,154.7273712158203
2023-04-13,median_T,3.035540819168091,4.214234738952882e-09,3.035540819168091,21362.65234375,0.00014209568972628947,180.3226776123047,154.7273712158203
2023-04-14,max_T,46.459686279296875,1.6670673730345698e-08,46.459686279296875,45910.09765625,0.0010119709748204393,183.30392456054688,156.4522247314453
2023-04-14,median_T,1.679263949394226,4.819594501270785e-09,1.679263949394226,20244.0625,8.295093681884385e-05,183.30392456054688,156.4522247314453
2023-04-12,max_T,29.987396240234375,1.3411044719191523e-08,29.987396240234375,34746.94921875,0.0008630224210893515,180.13534545898438,155.40614318847656
2023-04-12,median_T,1.1936023235321045,4.7264618885378695e-09,1.1936023235321045,23100.65234375,5.166963710680836e-05,180.13534545898438,155.40614318847656
2023-04-11,max_T,35.929039001464844,1.345761102555798e-08,35.929039001464844,26191.6640625,0.0013717738176440024,176.51296997070312,152.4778289794922
2023-04-11,median_T,3.606827974319458,5.3783875131330205e-09,3.606827974319458,24639.16015625,0.00014638599495464319,176.51296997070312,152.4778289794922
2023-04-10,max_T,40.808990478515625,1.345761102555798e-08,40.808990478515625,26204.287109375,0.0015573402286496686,178.83123779296875,154.9386444091797
2023-04-10,median_T,5.1981377601623535,6.821937681422696e-09,5.1981377601623535,25252.3203125,0.00020584792588700272,178.83123779296875,154.9386444091797
2023-04-20,max_T,73.92047119140625,8.707866427926092e-09,73.92047119140625,19231.041015625,0.0038438101781045923,151.27037048339844,117.92862701416016
2023-04-20,median_T,1.3989777565002441,2.8405338081682885e-09,1.3989777565002441,15012.0888671875,9.319007960031756e-05,151.27037048339844,117.92862701416016
2023-04-09,max_T,34.196800231933594,1.0849907638998957e-08,34.196800231933594,27067.875,0.001263372179453821,181.10618591308594,157.24520874023438
2023-04-09,median_T,6.151229381561279,6.938353003249631e-09,6.151229381561279,25313.201171875,0.0002430047997404528,181.10618591308594,157.24520874023438
2023-04-18,max_T,96.001220703125,6.472691715941892e-09,96.001220703125,20530.65234375,0.004675994658900839,158.3214111328125,127.8454818725586
2023-04-18,median_T,1.550144910812378,3.6088749766349792e-09,1.550144910812378,17599.853515625,8.807714845104663e-05,158.3214111328125,127.8454818725586
2023-04-19,max_T,114.07942962646484,6.332993685020938e-09,114.07942962646484,20059.115234375,0.0056871615868165845,155.04901123046875,123.1890640258789
2023-04-19,median_T,1.2623541355133057,4.0512535548486994e-09,1.2623541355133057,17171.85546875,7.35129723057934e-05,155.04901123046875,123.1890640258789
2023-04-21,max_T,84.80523681640625,8.102506221518979e-09,84.80523681640625,19799.232421875,0.004283258815766512,149.90554809570312,114.87445831298828
2023-04-21,median_T,1.0000795125961304,4.353933213963046e-09,1.0000795125961304,12604.75390625,7.93414548220768e-05,149.90554809570312,114.87445831298828
2023-04-22,max_T,15.025075912475586,9.87201964619544e-09,15.025075912475586,35553.765625,0.00042260153455898767,160.37933349609375,122.2364501953125
2023-04-22,median_T,0.11881464719772339,4.563480260344477e-09,0.11881464719772339,10987.4765625,1.081364283435516e-05,160.37933349609375,122.2364501953125
