criterion,n_runs,worst_case_max_mean,worst_case_max_std,worst_case_p95_mean,worst_case_p95_std,worst_case_mean_mean,worst_case_mean_std,worst_case_total_mean,worst_case_total_std,max_regret_max_mean,max_regret_max_std,max_regret_p95_mean,max_regret_p95_std,max_regret_mean_mean,max_regret_mean_std,total_cost_baseline_mean,total_cost_baseline_std,total_cost_mild_drought_mean,total_cost_mild_drought_std,total_cost_severe_drought_mean,total_cost_severe_drought_std,total_cost_flashy_mean,total_cost_flashy_std,total_cost_no_rain_mean,total_cost_no_rain_std,total_fn_baseline_mean,total_fn_baseline_std,total_fn_mild_drought_mean,total_fn_mild_drought_std,total_fn_severe_drought_mean,total_fn_severe_drought_std,total_fn_flashy_mean,total_fn_flashy_std,total_fn_no_rain_mean,total_fn_no_rain_std
naive,3,800.0,0.0,204.0,3.774917217635375,40.61447678992919,5.858330147326069,51621.0,7445.937617251437,332.3333333333333,56.0029761113937,100.0,0.0,15.227380015735642,1.9289311334777162,32590.666666666668,6331.976337079391,32717.0,6294.311082239263,32975.333333333336,6656.502259695652,51029.0,7282.12050161215,31679.666666666668,6658.963908396961,318.3333333333333,63.705049512054636,319.0,63.3798075099633,320.3333333333333,67.03978918025722,503.3333333333333,73.11862507824756,305.3333333333333,67.03978918025722
maximin,3,800.0,0.0,167.66666666666666,56.87119950672162,26.36978756884343,4.5881637598757345,33516.0,5831.556138802061,298.6666666666667,98.50042301093602,2.0,0.0,1.4891161814843954,0.4066151299591184,33021.333333333336,5982.113533972198,33077.666666666664,5975.533644230725,32961.0,6374.076482126646,33092.0,5842.636476797097,31696.333333333332,5969.31632042844,322.3333333333333,60.25224753760919,322.3333333333333,60.25224753760919,320.0,64.28063471995279,323.6666666666667,58.77357682950165,305.3333333333333,60.25224753760919
maximax,3,966.6666666666666,57.735026918962575,450.3333333333333,50.00333322222963,70.90296354576449,10.352347302080924,90117.66666666667,13157.833420944853,933.3333333333334,57.735026918962575,266.6666666666667,57.735026918962575,45.053763440860216,6.122989607595071,81745.0,12206.07508579232,73638.66666666667,10960.129211525444,59749.666666666664,10499.543101170324,89262.0,12967.618401233127,30297.0,5772.408596071487,811.6666666666666,122.46360003418704,730.0,110.14535850411491,590.0,105.47037498748168,887.3333333333334,130.02051120239966,293.3333333333333,58.3123771881522
savage,3,800.0,0.0,168.5,57.177355657637754,26.373721479150277,4.590882901604505,33521.0,5835.012167939327,8.333333333333334,0.5773502691896257,2.0,0.0,0.24180435352740623,0.01914862243511334,32626.0,6330.043680733965,32583.333333333332,6241.001709127577,32134.333333333332,6159.613651304223,33062.0,5819.9724226150765,30274.666666666668,5673.255355907518,318.3333333333333,63.705049512054636,317.3333333333333,62.88349014911094,311.6666666666667,62.083277404896506,323.3333333333333,58.52634734316959,291.0,57.15767664977295
