alpha,criterion,quantile_mode,delta_star_median,delta_star_p25,delta_star_p75,cost_baseline,cost_mild_drought,cost_severe_drought,cost_flashy,cost_no_rain,fn_baseline,fn_mild_drought,fn_severe_drought,fn_flashy,fn_no_rain,fn_total,cost_total
0.05,naive,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,100712.0,100712.0,100709.0,101211.0,100709.0,1006.0,1006.0,1006.0,1011.0,1006.0,5035.0,504053.0
0.05,maximin,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,100716.0,100716.0,100713.0,100714.0,100712.0,1006.0,1006.0,1006.0,1006.0,1006.0,5030.0,503571.0
0.05,maximax,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,102787.0,102587.0,102284.0,103082.0,100479.0,1027.0,1025.0,1022.0,1030.0,1004.0,5108.0,511219.0
0.05,savage,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,100716.0,100716.0,100713.0,100714.0,100512.0,1006.0,1006.0,1006.0,1006.0,1004.0,5028.0,503371.0
0.1,naive,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,100712.0,100712.0,100709.0,101211.0,100709.0,1006.0,1006.0,1006.0,1011.0,1006.0,5035.0,504053.0
0.1,maximin,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,100716.0,100716.0,100713.0,100714.0,100712.0,1006.0,1006.0,1006.0,1006.0,1006.0,5030.0,503571.0
0.1,maximax,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,102787.0,102587.0,102284.0,103082.0,100479.0,1027.0,1025.0,1022.0,1030.0,1004.0,5108.0,511219.0
0.1,savage,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,100716.0,100716.0,100713.0,100714.0,100512.0,1006.0,1006.0,1006.0,1006.0,1004.0,5028.0,503371.0
0.25,naive,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,100712.0,100712.0,100709.0,101211.0,100709.0,1006.0,1006.0,1006.0,1011.0,1006.0,5035.0,504053.0
0.25,maximin,cost,-11.458333333333332,-11.458333333333332,-11.458333333333332,100716.0,100716.0,100713.0,100714.0,100712.0,1006.0,1006.0,1006.0,1006.0,1006.0,5030.0,503571.0
