criterion,n_runs,worst_case_max_mean,worst_case_max_std,worst_case_p95_mean,worst_case_p95_std,worst_case_mean_mean,worst_case_mean_std,worst_case_total_mean,worst_case_total_std,max_regret_max_mean,max_regret_max_std,max_regret_p95_mean,max_regret_p95_std,max_regret_mean_mean,max_regret_mean_std,total_cost_baseline_mean,total_cost_baseline_std,total_cost_mild_drought_mean,total_cost_mild_drought_std,total_cost_severe_drought_mean,total_cost_severe_drought_std,total_cost_flashy_mean,total_cost_flashy_std,total_cost_no_rain_mean,total_cost_no_rain_std,total_fn_baseline_mean,total_fn_baseline_std,total_fn_mild_drought_mean,total_fn_mild_drought_std,total_fn_severe_drought_mean,total_fn_severe_drought_std,total_fn_flashy_mean,total_fn_flashy_std,total_fn_no_rain_mean,total_fn_no_rain_std
naive,3,966.6666666666666,57.735026918962575,204.33333333333334,96.00173609541305,45.140833988985044,7.674806516419059,57374.0,9754.679082368624,966.6666666666666,57.735026918962575,166.66666666666666,57.735026918962575,39.98006818777865,5.55932233874643,4611.0,3559.7391758385893,25721.333333333332,7306.178504069917,21391.0,6716.3776695477745,35717.0,4337.674376898293,20879.333333333332,4910.836011651512,37.333333333333336,35.92121007612819,247.66666666666666,73.36438736426096,203.0,67.57958271549181,348.6666666666667,43.61574639202376,196.0,49.51767361255979
maximin,3,501.6666666666667,97.5106831754005,8.0,1.0,6.740099659061106,4.353952002967654,8566.666666666666,5533.872995771888,299.3333333333333,172.6277304876981,3.3333333333333335,0.5773502691896258,2.27012850773669,1.3036184195164202,6094.333333333333,3999.769034998563,6523.0,4358.446053354337,5958.0,3826.8808447611746,6631.333333333333,4753.677453649262,5823.0,3499.38451731158,51.0,40.50925820105819,54.666666666666664,44.00378771575617,47.666666666666664,38.81151032017865,56.666666666666664,47.9617903474561,44.666666666666664,35.64173583501979
maximax,3,1000.0,0.0,467.3333333333333,115.32815498972198,94.37686860739575,20.361461491164178,119953.0,25879.41755526967,1000.0,0.0,465.1666666666667,116.7715005184627,89.52976658798848,20.28099070066705,77644.33333333333,21297.01566730262,68510.33333333333,16149.18271409836,53935.333333333336,10954.546742487037,76574.0,10788.86592742722,36325.0,9972.498232639602,769.6666666666666,213.4510092113254,677.6666666666666,161.99176933823932,530.6666666666666,110.1105505087198,759.3333333333334,108.18656724997487,352.6666666666667,100.07164100449904
savage,3,501.6666666666667,97.5106831754005,8.0,1.0,6.754523996852872,4.363214681031556,8585.0,5545.645859591108,9.0,0.0,2.3333333333333335,0.5773502691896258,0.3960136375557304,0.05479491309100228,4748.333333333333,3552.7646042671236,5143.666666666667,3578.860340015147,4983.0,3722.427030849631,5586.333333333333,4090.8339410605918,4794.0,2641.45547000134,37.333333333333336,35.92121007612819,40.666666666666664,36.11555528208494,37.666666666666664,37.634204300520736,46.0,41.24318125460256,34.0,26.851443164195103
