dataset,M_latent,mode,backflow_share_original,checkpoint_exists,downstream_share_original,n_e12_new,n_e12_old,n_e21_collapsed_fallback,n_e21_kept_downstream,n_e21_new,n_e21_old,n_reservoirs_active,n_reservoirs_discarded,n_reservoirs_kept,phys_exists,train_embalse,train_epoch,train_flow,train_loss,train_smooth,train_sparse,verify_diff_max_abs,verify_nse_relative,verify_pearson_correlation,verify_rmse
synth-N16,3,acyclic,0.33333333830038714,True,0.6666666616996129,3,11,0,6,6,7,3,1,2,True,0.0,60,-37.14658018794373,-37.146572558549195,0.0007217281390097074,0.0,0.0012181401252746582,0.9998037303161939,0.9999998807907104,0.0007855757721699774
synth-N16,3,dense,0.7284544795569821,True,0.27154552044301794,13,30,0,3,3,33,3,0,3,True,0.0,60,-42.892975243338704,-42.89153420664098,0.14410439552399365,0.0,0.1628136783838272,0.688937808438669,0.9340575933456421,0.04006015881896019
synth-N16,6,acyclic,0.2116507738828659,True,0.7883492261171341,10,19,0,17,17,19,6,1,5,True,0.0,60,-37.15421882685084,-37.15421501215357,0.00038067160053586546,0.0,0.008444979786872864,0.9873161592113235,0.9999903440475464,0.006359973922371864
synth-N16,6,dense,0.8616751167086438,True,0.13832488329135617,10,60,0,5,5,66,6,3,3,True,0.0,60,-42.765685979467236,-42.76500197918746,0.06839432317192537,0.0,0.17419922351837158,0.7389064611466349,0.8697196841239929,0.03588277846574783
synth-N64,3,acyclic,0.0,True,1.0,22,70,0,7,7,14,2,0,2,True,0.0,60,-35.56499587010293,-35.564663239639174,0.033258454479875355,0.0,0.0524677038192749,0.9932574419200748,0.9980884790420532,0.011937146075069904
synth-N64,3,dense,0.5810399826779226,True,0.41896001732207744,30,189,1,0,1,192,3,2,1,True,0.0,60,-36.0250468288895,-36.02101864779953,0.4028196750331099,0.0,1.3976173400878906,-50.024993485594536,0.7982574105262756,1.0740852355957031
synth-N64,6,acyclic,0.0,True,1.0,61,147,0,21,21,33,5,0,5,True,0.0,60,-36.03145855534686,-36.03123365527522,0.02247176357429393,0.0,0.14182502031326294,0.9762800444624805,0.9973099827766418,0.021553639322519302
synth-N64,6,dense,0.6139214716721185,True,0.3860785283278815,56,378,2,0,2,384,6,4,2,True,0.0,60,-36.33553470138216,-36.33290565100899,0.2628975927177137,0.0,68.12972259521484,-32974.42324100137,0.8749371767044067,26.91033172607422
