criterion,n_days,worst_case_max,worst_case_p95,worst_case_mean,worst_case_total,max_regret_max,max_regret_p95,max_regret_mean,total_cost_baseline,total_cost_mild_drought,total_cost_severe_drought,total_cost_flashy,total_cost_no_rain,total_fn_baseline,total_fn_mild_drought,total_fn_severe_drought,total_fn_flashy,total_fn_no_rain
naive,1066,900.0,500.0,100.9390243902439,107601.0,100.0,0.0,0.18761726078799248,107401.0,107401.0,107501.0,107401.0,107601.0,1074.0,1074.0,1075.0,1074.0,1076.0
maximin,1066,900.0,500.0,100.75140712945591,107401.0,0.0,0.0,0.0,107401.0,107401.0,107401.0,107401.0,107401.0,1074.0,1074.0,1074.0,1074.0,1074.0
maximax,1066,900.0,500.0,100.9390243902439,107601.0,100.0,0.0,0.18761726078799248,107401.0,107401.0,107501.0,107401.0,107601.0,1074.0,1074.0,1075.0,1074.0,1076.0
savage,1066,900.0,500.0,100.75140712945591,107401.0,0.0,0.0,0.0,107401.0,107401.0,107401.0,107401.0,107401.0,1074.0,1074.0,1074.0,1074.0,1074.0
