criterion,n_days,worst_case_max,worst_case_p95,worst_case_mean,worst_case_total,max_regret_max,max_regret_p95,max_regret_mean,total_cost_baseline,total_cost_mild_drought,total_cost_severe_drought,total_cost_flashy,total_cost_no_rain,total_fn_baseline,total_fn_mild_drought,total_fn_severe_drought,total_fn_flashy,total_fn_no_rain
naive,540,800.0,303.04999999999995,67.42222222222222,36408.0,798.0,300.0,60.7962962962963,2170.0,15114.0,12977.0,22062.0,15395.0,18.0,147.0,125.0,217.0,149.0
maximin,540,404.0,8.0,9.212962962962964,4975.0,400.0,4.0,3.7222222222222223,3543.0,3569.0,3324.0,3629.0,3433.0,31.0,31.0,28.0,32.0,29.0
maximax,540,1000.0,404.0,111.70185185185186,60319.0,1000.0,400.0,106.53888888888889,33393.0,32829.0,28181.0,37673.0,24096.0,331.0,325.0,278.0,374.0,237.0
savage,540,404.0,8.0,9.235185185185186,4987.0,8.0,3.0,0.45185185185185184,2261.0,2190.0,2445.0,2541.0,2948.0,18.0,17.0,19.0,21.0,24.0
