criterion,n_days,worst_case_max,worst_case_p95,worst_case_mean,worst_case_total,max_regret_max,max_regret_p95,max_regret_mean,total_cost_baseline,total_cost_mild_drought,total_cost_severe_drought,total_cost_flashy,total_cost_no_rain,total_fn_baseline,total_fn_mild_drought,total_fn_severe_drought,total_fn_flashy,total_fn_no_rain
naive,1271,800.0,200.0,33.864673485444534,43042.0,300.0,100.0,13.03933910306845,25299.0,25465.0,25295.0,42632.0,23996.0,245.0,246.0,243.0,419.0,228.0
maximin,1271,800.0,102.0,21.084185680566485,26798.0,200.0,2.0,1.2391817466561763,26135.0,26199.0,25620.0,26363.0,24823.0,253.0,253.0,246.0,256.0,236.0
maximax,1271,900.0,400.0,59.18489378442172,75224.0,900.0,200.0,38.61054287962234,67933.0,61107.0,47811.0,74575.0,23632.0,673.0,604.0,470.0,740.0,226.0
savage,1271,800.0,102.5,21.084972462627853,26799.0,8.0,2.0,0.22108575924468923,25337.0,25402.0,25023.0,26364.0,23724.0,245.0,245.0,240.0,256.0,225.0
