Acumulado;Fecha acumulado   ;fecha           
437,915;1997-06-15 08:00:00;1997-06-15 00:00:00
440,456;1997-06-16 08:00:00;1997-06-16 00:00:00
440,668;1997-06-17 08:00:00;1997-06-17 00:00:00
439,184;1997-06-18 08:00:00;1997-06-18 00:00:00
437,704;1997-06-19 08:00:00;1997-06-19 00:00:00
435,808;1997-06-20 08:00:00;1997-06-20 00:00:00
433,29;1997-06-21 08:00:00;1997-06-21 00:00:00
430,576;1997-06-22 08:00:00;1997-06-22 00:00:00
427,67;1997-06-23 08:00:00;1997-06-23 00:00:00
424,369;1997-06-24 08:00:00;1997-06-24 00:00:00
420,885;1997-06-25 08:00:00;1997-06-25 00:00:00
417,02;1997-06-26 08:00:00;1997-06-26 00:00:00
413,385;1997-06-27 08:00:00;1997-06-27 00:00:00
409,577;1997-06-28 08:00:00;1997-06-28 00:00:00
407,584;1997-06-29 08:00:00;1997-06-29 00:00:00
406,988;1997-06-30 08:00:00;1997-06-30 00:00:00
405,798;1997-07-01 08:00:00;1997-07-01 00:00:00
404,808;1997-07-02 08:00:00;1997-07-02 00:00:00
417,831;1997-07-03 08:00:00;1997-07-03 00:00:00
423,958;1997-07-04 08:00:00;1997-07-04 00:00:00
427,05;1997-07-06 08:00:00;1997-07-06 00:00:00
427,05;1997-07-07 08:00:00;1997-07-07 00:00:00
425,811;1997-07-08 08:00:00;1997-07-08 00:00:00
421,09;1997-07-12 08:00:00;1997-07-12 00:00:00
419,661;1997-07-13 08:00:00;1997-07-13 00:00:00
417,628;1997-07-14 08:00:00;1997-07-14 00:00:00
414,997;1997-07-15 08:00:00;1997-07-15 00:00:00
411,578;1997-07-16 08:00:00;1997-07-16 00:00:00
415,603;1997-07-17 08:00:00;1997-07-17 00:00:00
420,681;1997-07-18 08:00:00;1997-07-18 00:00:00
421,294;1997-07-19 08:00:00;1997-07-19 00:00:00
420,069;1997-07-20 08:00:00;1997-07-20 00:00:00
418,034;1997-07-21 08:00:00;1997-07-21 00:00:00
415,401;1997-07-22 08:00:00;1997-07-22 00:00:00
413,385;1997-07-23 08:00:00;1997-07-23 00:00:00
412,782;1997-07-24 08:00:00;1997-07-24 00:00:00
412,581;1997-07-25 08:00:00;1997-07-25 00:00:00
411,377;1997-07-26 08:00:00;1997-07-26 00:00:00
409,777;1997-07-27 08:00:00;1997-07-27 00:00:00
407,982;1997-07-28 08:00:00;1997-07-28 00:00:00
405,402;1997-07-29 08:00:00;1997-07-29 00:00:00
402,441;1997-07-30 08:00:00;1997-07-30 00:00:00
399,106;1997-07-31 08:00:00;1997-07-31 00:00:00
395,406;1997-08-01 08:00:00;1997-08-01 00:00:00
391,541;1997-08-02 08:00:00;1997-08-02 00:00:00
387,707;1997-08-03 08:00:00;1997-08-03 00:00:00
383,902;1997-08-04 08:00:00;1997-08-04 00:00:00
380,504;1997-08-05 08:00:00;1997-08-05 00:00:00
377,316;1997-08-06 08:00:00;1997-08-06 00:00:00
374,149;1997-08-07 08:00:00;1997-08-07 00:00:00
371,188;1997-08-08 08:00:00;1997-08-08 00:00:00
368,245;1997-08-09 08:00:00;1997-08-09 00:00:00
364,956;1997-08-10 08:00:00;1997-08-10 00:00:00
362,051;1997-08-11 08:00:00;1997-08-11 00:00:00
359,524;1997-08-12 08:00:00;1997-08-12 00:00:00
356,653;1997-08-13 08:00:00;1997-08-13 00:00:00
353,266;1997-08-14 08:00:00;1997-08-14 00:00:00
349,728;1997-08-15 08:00:00;1997-08-15 00:00:00
346,216;1997-08-16 08:00:00;1997-08-16 00:00:00
342,904;1997-08-17 08:00:00;1997-08-17 00:00:00
344,644;1997-08-18 08:00:00;1997-08-18 00:00:00
341,863;1997-08-19 08:00:00;1997-08-19 00:00:00
338,411;1997-08-20 08:00:00;1997-08-20 00:00:00
337,895;1997-08-21 08:00:00;1997-08-21 00:00:00
336,181;1997-08-22 08:00:00;1997-08-22 00:00:00
333,621;1997-08-23 08:00:00;1997-08-23 00:00:00
330,738;1997-08-24 08:00:00;1997-08-24 00:00:00
327,704;1997-08-25 08:00:00;1997-08-25 00:00:00
324,692;1997-08-26 08:00:00;1997-08-26 00:00:00
321,699;1997-08-27 08:00:00;1997-08-27 00:00:00
319,055;1997-08-28 08:00:00;1997-08-28 00:00:00
317,083;1997-08-29 08:00:00;1997-08-29 00:00:00
314,793;1997-08-30 08:00:00;1997-08-30 00:00:00
312,191;1997-08-31 08:00:00;1997-08-31 00:00:00
309,604;1997-09-01 08:00:00;1997-09-01 00:00:00
308,637;1997-09-02 08:00:00;1997-09-02 00:00:00
308,155;1997-09-03 08:00:00;1997-09-03 00:00:00
306,711;1997-09-04 08:00:00;1997-09-04 00:00:00
304,794;1997-09-05 08:00:00;1997-09-05 00:00:00
302,409;1997-09-06 08:00:00;1997-09-06 00:00:00
300,037;1997-09-07 08:00:00;1997-09-07 00:00:00
